state,district,taluk,village
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Ranjaliguda @ Ranginiguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Rayavalasa
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Rayipadu
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Regam
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Regapunayagiri
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Regulapalem
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Revallapalem
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,R.T.Puram
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Sada
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Samareddipalem
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Sankuparti
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Saraiguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Saravani Palem
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Sariapalle
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Sariya
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Seesaguda
Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Seesamanda
